sample,x,y,class,data_type,data_uri
35,3.81E+00,8.35E+00,1,file,globus://go#ep1/share/godata/file35 .txt
36,3.98E+00,9.50E+00,1,file,globus://go#ep1/share/godata/file36 .txt
37,5.78E+00,6.34E+00,0,file,globus://go#ep1/share/godata/file37 .txt
38,3.92E+00,8.47E+00,1,file,globus://go#ep1/share/godata/file38 .txt
39,6.89E+00,7.00E+00,0,file,globus://go#ep1/share/godata/file39 .txt
40,3.10E+00,8.01E+00,1,file,globus://go#ep1/share/godata/file40 .txt
41,7.15E+00,6.19E+00,0,file,globus://go#ep1/share/godata/file41 .txt
42,3.88E+00,9.82E+00,1,file,globus://go#ep1/share/godata/file42 .txt
43,7.07E+00,6.35E+00,0,file,globus://go#ep1/share/godata/file43 .txt
44,4.29E+00,8.04E+00,1,file,globus://go#ep1/share/godata/file44 .txt
45,4.22E+00,8.23E+00,1,file,globus://go#ep1/share/godata/file45 .txt
46,4.03E+00,9.06E+00,1,file,globus://go#ep1/share/godata/file46 .txt
47,4.15E+00,8.22E+00,1,file,globus://go#ep1/share/godata/file47 .txt
48,6.58E+00,6.83E+00,0,file,globus://go#ep1/share/godata/file48 .txt
49,6.90E+00,6.06E+00,0,file,globus://go#ep1/share/godata/file49 .txt
50,4.10E+00,8.73E+00,1,file,globus://go#ep1/share/godata/file50 .txt
51,4.01E+00,8.45E+00,1,file,globus://go#ep1/share/godata/file51 .txt
52,7.43E+00,6.50E+00,0,file,globus://go#ep1/share/godata/file52 .txt
53,6.79E+00,7.37E+00,0,file,globus://go#ep1/share/godata/file53 .txt
54,7.33E+00,6.98E+00,0,file,globus://go#ep1/share/godata/file54 .txt
55,4.13E+00,7.62E+00,1,file,globus://go#ep1/share/godata/file55 .txt
56,6.92E+00,5.84E+00,0,file,globus://go#ep1/share/godata/file56 .txt
57,6.97E+00,6.09E+00,0,file,globus://go#ep1/share/godata/file57 .txt
58,4.01E+00,8.85E+00,1,file,globus://go#ep1/share/godata/file58 .txt
59,7.69E+00,5.46E+00,0,file,globus://go#ep1/share/godata/file59 .txt
60,4.55E+00,8.38E+00,1,file,globus://go#ep1/share/godata/file60 .txt
61,7.65E+00,8.22E+00,0,file,globus://go#ep1/share/godata/file61 .txt
62,7.06E+00,7.33E+00,0,file,globus://go#ep1/share/godata/file62 .txt
63,7.94E+00,5.64E+00,0,file,globus://go#ep1/share/godata/file63 .txt
64,3.10E+00,9.40E+00,1,file,globus://go#ep1/share/godata/file64 .txt
65,6.74E+00,6.40E+00,0,file,globus://go#ep1/share/godata/file65 .txt
66,5.64E+00,6.53E+00,0,file,globus://go#ep1/share/godata/file66 .txt
67,6.80E+00,6.96E+00,0,file,globus://go#ep1/share/godata/file67 .txt
68,3.34E+00,9.30E+00,1,file,globus://go#ep1/share/godata/file68 .txt
69,6.94E+00,6.44E+00,0,file,globus://go#ep1/share/godata/file69 .txt
70,3.53E+00,9.53E+00,1,file,globus://go#ep1/share/godata/file70 .txt
71,2.81E+00,7.74E+00,1,file,globus://go#ep1/share/godata/file71 .txt
72,4.58E+00,9.27E+00,1,file,globus://go#ep1/share/godata/file72 .txt
73,4.74E+00,9.61E+00,1,file,globus://go#ep1/share/godata/file73 .txt
74,6.94E+00,6.23E+00,0,file,globus://go#ep1/share/godata/file74 .txt
75,3.84E+00,8.90E+00,1,file,globus://go#ep1/share/godata/file75 .txt
76,7.00E+00,5.91E+00,0,file,globus://go#ep1/share/godata/file76 .txt
77,4.24E+00,8.56E+00,1,file,globus://go#ep1/share/godata/file77 .txt
78,3.59E+00,8.89E+00,1,file,globus://go#ep1/share/godata/file78 .txt
79,6.85E+00,5.96E+00,0,file,globus://go#ep1/share/godata/file79 .txt
80,4.20E+00,9.04E+00,1,file,globus://go#ep1/share/godata/file80 .txt
81,4.58E+00,9.82E+00,1,file,globus://go#ep1/share/godata/file81 .txt
82,3.34E+00,8.61E+00,1,file,globus://go#ep1/share/godata/file82 .txt
83,4.03E+00,9.42E+00,1,file,globus://go#ep1/share/godata/file83 .txt
84,3.66E+00,9.15E+00,1,file,globus://go#ep1/share/godata/file84 .txt
85,7.29E+00,5.82E+00,0,file,globus://go#ep1/share/godata/file85 .txt
86,6.89E+00,7.10E+00,0,file,globus://go#ep1/share/godata/file86 .txt
87,8.03E+00,6.43E+00,0,file,globus://go#ep1/share/godata/file87 .txt
88,6.12E+00,6.13E+00,0,file,globus://go#ep1/share/godata/file88 .txt
89,4.04E+00,8.58E+00,1,file,globus://go#ep1/share/godata/file89 .txt
90,4.17E+00,1.01E+01,1,file,globus://go#ep1/share/godata/file90 .txt
91,4.52E+00,7.85E+00,1,file,globus://go#ep1/share/godata/file91 .txt
92,4.32E+00,7.73E+00,1,file,globus://go#ep1/share/godata/file92 .txt
93,6.25E+00,6.23E+00,0,file,globus://go#ep1/share/godata/file93 .txt
94,6.30E+00,7.27E+00,0,file,globus://go#ep1/share/godata/file94 .txt
95,4.26E+00,8.29E+00,1,file,globus://go#ep1/share/godata/file95 .txt
96,5.56E+00,5.97E+00,0,file,globus://go#ep1/share/godata/file96 .txt
97,3.29E+00,7.72E+00,1,file,globus://go#ep1/share/godata/file97 .txt
98,6.40E+00,6.32E+00,0,file,globus://go#ep1/share/godata/file98 .txt
